date,price
2021-03-15,120.7657241821289
2021-03-16,122.30462646484375
2021-03-17,121.51567840576172
2021-03-18,117.39567565917969
2021-03-19,116.86972045898438
2021-03-22,120.18130493164062
2021-03-23,119.3534164428711
2021-03-24,116.96711730957031
2021-03-25,117.45415496826172
2021-03-26,118.05799865722656
2021-03-29,118.23330688476562
2021-03-30,116.78206634521484
2021-03-31,118.97355651855469
2021-04-01,119.80143737792969
2021-04-05,122.62605285644531
2021-04-06,122.92798614501953
2021-04-07,124.57402038574219
2021-04-08,126.9700698852539
2021-04-09,129.54141235351562
2021-04-12,127.8271713256836
2021-04-13,130.93421936035156
2021-04-14,128.5966339111328
2021-04-15,131.00241088867188
2021-04-16,130.67127990722656
2021-04-19,131.3335418701172
2021-04-20,129.64854431152344
2021-04-21,130.02841186523438
2021-04-22,128.50900268554688
2021-04-23,130.8271026611328
2021-04-26,131.21669006347656
2021-04-27,130.895263671875
2021-04-28,130.1063690185547
2021-04-29,130.00892639160156
2021-04-30,128.04141235351562
2021-05-03,129.0933837890625
2021-05-04,124.52534484863281
2021-05-05,124.76883697509766
2021-05-06,126.3662109375
2021-05-07,127.03944396972656
2021-05-10,123.76119232177734
2021-05-11,122.84410095214844
2021-05-12,119.78054809570312
2021-05-13,121.92698669433594
2021-05-14,124.34660339355469
2021-05-17,123.19530487060547
2021-05-18,121.8099136352539
2021-05-19,121.65380096435547
2021-05-20,124.20999908447266
2021-05-21,122.37577056884766
2021-05-24,124.00509643554688
2021-05-25,123.80998229980469
2021-05-26,123.76119232177734
2021-05-27,122.22942352294922
2021-05-28,121.57572937011719
2021-06-01,121.25377655029297
2021-06-02,122.01478576660156
2021-06-03,120.53179168701172
2021-06-04,122.82456970214844
2021-06-07,122.8343276977539
2021-06-08,123.65388488769531
2021-06-09,124.03437805175781
2021-06-10,123.03922271728516
2021-06-11,124.24903869628906
2021-06-14,127.30279541015625
2021-06-15,126.4832534790039
2021-06-16,126.98082733154297
2021-06-17,128.58087158203125
2021-06-18,127.2833251953125
2021-06-21,129.07847595214844
2021-06-22,130.71762084960938
2021-06-23,130.4443817138672
2021-06-24,130.1614532470703
2021-06-25,129.86874389648438
2021-06-28,131.4981231689453
2021-06-29,133.01036071777344
2021-06-30,133.62501525878906
2021-07-01,133.9275360107422
2021-07-02,136.55198669433594
2021-07-06,138.56178283691406
2021-07-07,141.04971313476562
2021-07-08,139.75205993652344
2021-07-09,141.5765838623047
2021-07-12,140.98143005371094
2021-07-13,142.09365844726562
2021-07-14,145.51815795898438
2021-07-15,144.86448669433594
2021-07-16,142.82540893554688
2021-07-19,138.98135375976562
2021-07-20,142.59127807617188
2021-07-21,141.8594970703125
2021-07-22,143.22547912597656
2021-07-23,144.9425506591797
2021-07-26,145.36212158203125
2021-07-27,143.19613647460938
2021-07-28,141.4497528076172
2021-07-29,142.09365844726562
2021-07-30,142.30828857421875
2021-08-02,141.97659301757812
2021-08-03,143.77178955078125
2021-08-04,143.37176513671875
2021-08-05,143.47906494140625
2021-08-06,142.7951202392578
2021-08-09,142.74623107910156
2021-08-10,142.26747131347656
2021-08-11,142.5215301513672
2021-08-12,145.48219299316406
2021-08-13,145.68739318847656
2021-08-16,147.6611328125
2021-08-17,146.75242614746094
2021-08-18,143.0100860595703
2021-08-19,143.34225463867188
2021-08-20,144.7982177734375
2021-08-23,146.28343200683594
2021-08-24,146.19546508789062
2021-08-25,144.96429443359375
2021-08-26,144.1630401611328
2021-08-27,145.19882202148438
2021-08-30,149.61534118652344
2021-08-31,148.35487365722656
2021-09-01,149.01927185058594
2021-09-02,150.13320922851562
2021-09-03,150.7683563232422
2021-09-07,153.1036376953125
2021-09-08,151.559814453125
2021-09-09,150.5436248779297
2021-09-10,145.56036376953125
2021-09-13,146.1270751953125
2021-09-14,144.72976684570312
2021-09-15,145.61895751953125
2021-09-16,145.38446044921875
2021-09-17,142.7169189453125
2021-09-20,139.66836547851562
2021-09-21,140.1471405029297
2021-09-22,142.5117645263672
2021-09-23,143.4692840576172
2021-09-24,143.55728149414062
2021-09-27,142.04269409179688
2021-09-28,138.66192626953125
2021-09-29,139.56085205078125
2021-09-30,138.26132202148438
2021-10-01,139.38499450683594
2021-10-04,135.955322265625
2021-10-05,137.8802490234375
2021-10-06,138.7498779296875
2021-10-07,140.01036071777344
2021-10-08,139.62925720214844
2021-10-11,139.54132080078125
2021-10-12,138.27110290527344
2021-10-13,137.68482971191406
2021-10-14,140.4695587158203
2021-10-15,141.52484130859375
2021-10-18,143.19569396972656
2021-10-19,145.35511779785156
2021-10-20,145.84368896484375
2021-10-21,146.0586700439453
2021-10-22,145.28675842285156
2021-10-25,145.23794555664062
2021-10-26,145.90231323242188
2021-10-27,145.44309997558594
2021-10-28,149.07794189453125
2021-10-29,146.37130737304688
2021-11-01,145.55059814453125
2021-11-02,146.5863037109375
2021-11-03,148.0226287841797
2021-11-04,147.50479125976562
2021-11-05,148.033203125
2021-11-08,147.211181640625
2021-11-09,147.5732879638672
2021-11-10,144.7453155517578
2021-11-11,144.6963348388672
2021-11-12,146.77090454101562
2021-11-15,146.78067016601562
2021-11-16,147.7592315673828
2021-11-17,150.19578552246094
2021-11-18,154.48175048828125
2021-11-19,157.104248046875
2021-11-22,157.56414794921875
2021-11-23,157.94578552246094
2021-11-24,158.46441650390625
2021-11-26,153.44448852539062
2021-11-29,156.80093383789062
2021-11-30,161.75230407714844
2021-12-01,161.2336883544922
2021-12-02,160.24534606933594
2021-12-03,158.3665771484375
2021-12-06,161.77186584472656
2021-12-07,167.50608825683594
2021-12-08,171.32240295410156
2021-12-09,170.81356811523438
2021-12-10,175.5986328125
2021-12-13,171.96824645996094
2021-12-14,170.58848571777344
2021-12-15,175.45181274414062
2021-12-16,168.56289672851562
2021-12-17,167.46694946289062
2021-12-20,166.10679626464844
2021-12-21,169.27728271484375
2021-12-22,171.87033081054688
2021-12-23,172.49664306640625
2021-12-27,176.4597625732422
2021-12-28,175.44203186035156
2021-12-29,175.53012084960938
2021-12-30,174.37542724609375
2021-12-31,173.7589874267578
2022-01-03,178.10365295410156
2022-01-04,175.84323120117188
2022-01-05,171.1658172607422
2022-01-06,168.3085174560547
2022-01-07,168.47486877441406
2022-01-10,168.49441528320312
2022-01-11,171.32240295410156
2022-01-12,171.7627410888672
2022-01-13,168.49441528320312
2022-01-14,169.3555145263672
2022-01-18,166.15570068359375
2022-01-19,162.66232299804688
2022-01-20,160.97926330566406
2022-01-21,158.92431640625
2022-01-24,158.15127563476562
2022-01-25,156.35076904296875
2022-01-26,156.2626953125
2022-01-27,155.8028106689453
2022-01-28,166.67430114746094
2022-01-31,171.02883911132812
2022-02-01,170.8625030517578
2022-02-02,172.06610107421875
2022-02-03,169.18919372558594
2022-02-04,168.9050750732422
2022-02-07,168.1898193359375
2022-02-08,171.29571533203125
2022-02-09,172.71641540527344
2022-02-10,168.6405487060547
2022-02-11,165.23086547851562
2022-02-14,165.46600341796875
2022-02-15,169.2969512939453
2022-02-16,169.06179809570312
2022-02-17,165.46600341796875
2022-02-18,163.91795349121094
2022-02-22,160.99818420410156
2022-02-23,156.8341522216797
2022-02-24,159.4501495361328
2022-02-25,161.51748657226562
2022-02-28,161.7820281982422
2022-03-01,159.90084838867188
2022-03-02,163.19290161132812
2022-03-03,162.86961364746094
2022-03-04,159.8713836669922
2022-03-07,156.07968139648438
2022-03-08,154.25726318359375
2022-03-09,159.6558837890625
2022-03-10,155.31544494628906
2022-03-11,151.60205078125
2022-03-14,147.57513427734375
2022-03-15,151.9547576904297
2022-03-16,156.36380004882812
2022-03-17,157.37298583984375
2022-03-18,160.6650390625
2022-03-21,162.0367889404297
2022-03-22,165.40721130371094
2022-03-23,166.76913452148438
2022-03-24,170.55111694335938
2022-03-25,171.18795776367188
2022-03-28,172.05015563964844
2022-03-29,175.34225463867188
2022-03-30,174.17628479003906
2022-03-31,171.0802001953125
2022-04-01,170.78627014160156
2022-04-04,174.83279418945312
2022-04-05,171.52108764648438
2022-04-06,168.3563995361328
2022-04-07,168.6601104736328
2022-04-08,166.6515350341797
2022-04-11,162.39926147460938
2022-04-12,164.27069091796875
2022-04-13,166.95529174804688
2022-04-14,161.94857788085938
2022-04-18,161.73306274414062
2022-04-19,164.01596069335938
2022-04-20,163.849365234375
2022-04-21,163.05577087402344
2022-04-22,158.5193328857422
2022-04-25,159.5872802734375
2022-04-26,153.63023376464844
2022-04-27,153.40487670898438
2022-04-28,160.3319091796875
2022-04-29,154.46304321289062
2022-05-02,154.76673889160156
2022-05-03,156.25601196289062
2022-05-04,162.663818359375
2022-05-05,153.60084533691406
2022-05-06,154.32691955566406
2022-05-09,149.20492553710938
2022-05-10,151.60890197753906
2022-05-11,143.74932861328125
2022-05-12,139.88331604003906
2022-05-13,144.34786987304688
2022-05-16,142.80735778808594
2022-05-17,146.4379119873047
2022-05-18,138.17596435546875
2022-05-19,134.77114868164062
2022-05-20,135.00662231445312
2022-05-23,140.42300415039062
2022-05-24,137.72463989257812
2022-05-25,137.88165283203125
2022-05-26,141.0803985595703
2022-05-27,146.83038330078125
2022-05-31,146.04539489746094
2022-06-01,145.91786193847656
2022-06-02,148.3708953857422
2022-06-03,142.6503448486328
2022-06-06,143.39610290527344
2022-06-07,145.91786193847656
2022-06-08,145.18191528320312
2022-06-09,139.9618377685547
2022-06-10,134.55526733398438
2022-06-13,129.40382385253906
2022-06-14,130.26731872558594
2022-06-15,132.8871612548828
2022-06-16,127.61798095703125
2022-06-17,129.08981323242188
2022-06-21,133.3189239501953
2022-06-22,132.8087158203125
2022-06-23,135.673828125
2022-06-24,139.0001983642578
2022-06-27,139.0001983642578
2022-06-28,134.85943603515625
2022-06-29,136.61582946777344
2022-06-30,134.15293884277344
2022-07-01,136.32142639160156
2022-07-05,138.9020538330078
2022-07-06,140.2365264892578
2022-07-07,143.60214233398438
2022-07-08,144.27919006347656
2022-07-11,142.14993286132812
2022-07-12,143.12132263183594
2022-07-13,142.75827026367188
2022-07-14,145.6823272705078
2022-07-15,147.35040283203125
2022-07-18,144.3086395263672
2022-07-19,148.16488647460938
2022-07-20,150.16653442382812
2022-07-21,152.4331817626953
2022-07-22,151.19679260253906
2022-07-25,150.07823181152344
2022-07-26,148.75357055664062
2022-07-27,153.84608459472656
2022-07-28,154.39559936523438
2022-07-29,159.45870971679688
2022-08-01,158.47747802734375
2022-08-02,157.0056610107422
2022-08-03,163.01075744628906
2022-08-04,162.69674682617188
2022-08-05,162.4707489013672
2022-08-08,161.99913024902344
2022-08-09,162.04827880859375
2022-08-10,166.2930450439453
2022-08-11,165.5561065673828
2022-08-12,169.10324096679688
2022-08-15,170.17425537109375
2022-08-16,170.01702880859375
2022-08-17,171.51058959960938
2022-08-18,171.1175537109375
2022-08-19,168.5333709716797
2022-08-22,164.65213012695312
2022-08-23,164.3180389404297
2022-08-24,164.61280822753906
2022-08-25,167.0692596435547
2022-08-26,160.77085876464844
2022-08-29,158.5699005126953
2022-08-30,156.14291381835938
2022-08-31,154.48233032226562
2022-09-01,155.20945739746094
2022-09-02,153.09690856933594
2022-09-06,151.8391571044922
2022-09-07,153.24429321289062
2022-09-08,151.7704315185547
2022-09-09,154.62974548339844
2022-09-12,160.58419799804688
2022-09-13,151.16116333007812
2022-09-14,152.60557556152344
2022-09-15,149.7167510986328
2022-09-16,148.07586669921875
2022-09-19,151.79005432128906
2022-09-20,154.16787719726562
2022-09-21,151.0432891845703
2022-09-22,150.08033752441406
2022-09-23,147.81056213378906
2022-09-26,148.1446533203125
2022-09-27,149.1173858642578
2022-09-28,147.2308349609375
2022-09-29,139.99900817871094
2022-09-30,135.7935333251953
2022-10-03,139.96949768066406
2022-10-04,143.5559844970703
